Episode,Score,Total Steps,Death
1212,0,6,WALL
1213,0,28,WALL
1214,0,10,WALL
1215,0,1,SNAKE
1216,0,9,WALL
1217,0,1,SNAKE
1218,1,12,SNAKE
1219,0,11,WALL
1220,0,7,WALL
1221,0,1,SNAKE
1222,0,7,WALL
1223,0,1,SNAKE
1224,0,15,WALL
1225,0,10,WALL
1226,0,1,SNAKE
1227,0,9,WALL
1228,0,5,WALL
1229,0,14,WALL
1230,0,1,SNAKE
1231,0,1,SNAKE
1232,0,9,WALL
1233,0,17,WALL
1234,0,1,SNAKE
1235,0,11,WALL
1236,0,12,WALL
1237,1,11,WALL
1238,1,25,WALL
1239,0,1,SNAKE
1240,0,8,WALL
1241,0,22,WALL
1242,0,17,WALL
1243,0,26,WALL
1244,0,1,SNAKE
1245,0,1,SNAKE
1246,0,1,SNAKE
1247,0,10,WALL
1248,0,1,SNAKE
1249,0,7,WALL
1250,0,7,WALL
1251,0,1,SNAKE
1252,0,1,SNAKE
1253,0,1,SNAKE
1254,0,1,SNAKE
1255,0,1,SNAKE
1256,0,1,SNAKE
1257,0,1,SNAKE
1258,0,17,WALL
1259,0,40,WALL
1260,0,7,WALL
1261,0,10,WALL
1262,0,1,SNAKE
1263,0,1,SNAKE
1264,0,7,WALL
1265,0,10,WALL
1266,0,5,WALL
1267,0,1,SNAKE
1268,0,1,SNAKE
1269,0,1,SNAKE
1270,0,7,WALL
1271,0,31,WALL
